Wilayah,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya,tahun
Bogor,18311.81,14168.43,2600.77,1483.95,3.05,55.61,2020
Sukabumi,22114.97,14529.06,6614.18,925.22,34.93,11.57,2020
Cianjur,19358.43,13174.78,5012.69,878.93,280.8,11.23,2020
Bandung,18162.35,11384.73,4772.86,1733.36,40.04,231.36,2020
Garut,20169.27,9199.64,8600.93,2023.56,322.48,22.66,2020
Tasikmalaya,22006.35,10056.01,10899.37,852.6,154.51,43.85,2020
Ciamis,20898.74,13459.62,6498.17,609.26,150.22,181.47,2020
Kuningan,18936.89,13874.41,4249.1,600.93,59.31,153.15,2020
Cirebon,16088.41,13611.59,1999.69,396.56,5.99,74.59,2020
Majalengka,17882.32,13027.94,3811.63,839.07,42.93,160.74,2020
Sumedang,20442.48,9912.89,8130.29,2145.92,142.01,111.37,2020
Indramayu,21482.3,15784.39,5214.75,320.02,63.22,99.93,2020
Subang,21044.04,13022.12,5988.29,1871.59,35.99,126.04,2020
Purwakarta,19051.35,14763.22,3331.06,668.15,52.88,236.04,2020
Karawang,18090.09,13175.36,3850.38,1028.08,24.15,12.11,2020
Bekasi,20589.14,17650.03,1409.72,1197.6,0.32,331.46,2020
Bandung Barat,21472.13,13367.21,6530.81,1430.98,71.18,71.95,2020
Pangandaran,22826.02,13821.41,5731.53,2644.64,494.17,134.27,2020
Kota Bogor,19988.05,14554.98,1918.02,3352.14,-,162.9,2020
Kota Sukabumi,22258.59,15918.59,2731.03,3518.74,2.45,87.78,2020
Kota Bandung,18215.31,14720.25,1797.55,1531.01,0.78,165.73,2020
Kota Cirebon,15255.5,13154.07,1487.11,550.11,0.79,63.42,2020
Kota Bekasi,20505.29,16271.76,1304.23,2741.94,-,187.35,2020
Kota Depok,18862.69,13369,2221.57,3116.27,1.49,154.35,2020
Kota Cimahi,21412.88,16151.51,2335.25,2515.93,42.62,367.56,2020
Kota Tasikmalaya,17452.29,11329.07,4461.21,1514.82,19.9,127.3,2020
Kota Banjar,19585.3,12318.86,4863.98,2310.18,80.53,11.76,2020
